district_,mandal,gp,female,male,transgender
NALGONDA,DAMERACHERLA,KALLE PALLY,556,320,
NALGONDA,DAMERACHERLA,KESAWAPUR,1107,649,8.0
NALGONDA,DAMERACHERLA,KONDRAPOLU,1238,649,2.0
NALGONDA,DAMERACHERLA,MUDIMANIKYAM,329,241,
NALGONDA,DAMERACHERLA,MULKA CHARLA,1018,684,3.0
NALGONDA,DAMERACHERLA,NADIGADDA,259,185,
NALGONDA,DAMERACHERLA,NARSAPUR,478,258,1.0
NALGONDA,DAMERACHERLA,THALLA VEERAPPA GUDEM,548,293,3.0
NALGONDA,DAMERACHERLA,TIMMAPUR,566,426,5.0
NALGONDA,DAMERACHERLA,ULSHAIPALEM,452,270,1.0
NALGONDA,DAMERACHERLA,VACHYA THANDA,714,491,2.0
NALGONDA,DAMERACHERLA,VEERLA PALEM,1126,664,2.0
NALGONDA,DAMERACHERLA,WADAPALLI,1024,582,3.0
NALGONDA,DEVARAKONDA,CHANNAMNENI PALLI,282,181,1.0
NALGONDA,DEVARAKONDA,CHENNARAM,736,512,4.0
NALGONDA,DEVARAKONDA,CHINTHAKUNTLA,931,630,4.0
NALGONDA,DEVARAKONDA,DEVARAKONDA ,94,31,
NALGONDA,DEVARAKONDA,DONIYALA,283,184,
NALGONDA,DEVARAKONDA,GAZINAGAR,1075,706,3.0
NALGONDA,DEVARAKONDA,GOTTIMUKKALA,824,596,1.0
NALGONDA,DEVARAKONDA,GUMMADA VALLY,493,342,1.0
NALGONDA,DEVARAKONDA,IDDAM PALLI,739,470,3.0
NALGONDA,DEVARAKONDA,KOLMUNTHAL PAHAD,952,615,1.0
NALGONDA,DEVARAKONDA,KOMME PALLI,372,253,
NALGONDA,DEVARAKONDA,KONDABHEEMANA PALLI,1320,834,3.0
NALGONDA,DEVARAKONDA,KONDAMALLE PALLI,1619,917,4.0
NALGONDA,DEVARAKONDA,MADMADKA,648,466,4.0
NALGONDA,DEVARAKONDA,MUDIGONDA,1799,1230,7.0
NALGONDA,DEVARAKONDA,MYNAM PALLI,600,368,
NALGONDA,DEVARAKONDA,PADAMATI PALLI,702,402,
NALGONDA,DEVARAKONDA,PENDLI PAKALA,952,605,1.0
NALGONDA,DEVARAKONDA,SERE PALLI,846,609,3.0
NALGONDA,DEVARAKONDA,TATIKOLE,1382,942,3.0
NALGONDA,DEVARAKONDA,TELUGUPALLY,468,337,
NALGONDA,DEVARAKONDA,TURUPU PALLI,927,563,6.0
NALGONDA,GARIDEPALLE,ABBIREDDYGUDEM,261,164,1.0
NALGONDA,GARIDEPALLE,APPANNAPETA,357,183,
NALGONDA,GARIDEPALLE,GADDI PALLI,683,411,
NALGONDA,GARIDEPALLE,GANUGA BANDA,630,383,3.0
NALGONDA,GARIDEPALLE,GARIDE PALLI,2069,1233,3.0
NALGONDA,GARIDEPALLE,KACHAVARIGUDEM,175,118,
NALGONDA,GARIDEPALLE,KALMALA CHERVU,1174,727,6.0
NALGONDA,GARIDEPALLE,KALUVA PALLY,377,254,
NALGONDA,GARIDEPALLE,KEETHAVARIGUDEM,641,388,4.0
NALGONDA,GARIDEPALLE,KODANDARAMPURAM,134,89,
NALGONDA,GARIDEPALLE,KOTHAGUDEM,586,382,
NALGONDA,GARIDEPALLE,KUTHUBSHA PURAM,505,328,
NALGONDA,GARIDEPALLE,L.B.NAGAR,152,122,1.0
NALGONDA,GARIDEPALLE,PONUGODU,1341,793,7.0
NALGONDA,GARIDEPALLE,RAINI GUDEM,791,526,1.0
NALGONDA,GARIDEPALLE,SARVARAM,718,469,
NALGONDA,GARIDEPALLE,TALLA MALKAPURAM,683,368,1.0
NALGONDA,GARIDEPALLE,VELIDANDA,588,402,
NALGONDA,GUNDALA,AMBALA,397,254,1.0
NALGONDA,GUNDALA,ANANTARAM,549,395,1.0
NALGONDA,GUNDALA,BANDAKOTHA PALLE,474,313,
NALGONDA,GUNDALA,BRAHMAN PALLE,337,223,
NALGONDA,GUNDALA,GANGAPUR,205,133,
NALGONDA,GUNDALA,GUNDALA,680,373,
NALGONDA,GUNDALA,KOMME PALLE,208,120,1.0
NALGONDA,GUNDALA,MARPADAGA,460,284,
NALGONDA,GUNDALA,MASAN PALLE,468,331,1.0
NALGONDA,GUNDALA,NUNEGUDA,284,190,
NALGONDA,GUNDALA,PALLE PAHAD,321,193,
NALGONDA,GUNDALA,PARU PALLE,418,273,
NALGONDA,GUNDALA,PEDDA PADISHALA,571,399,
NALGONDA,GUNDALA,RAMARAM,360,241,
NALGONDA,GUNDALA,SEETARAMPUR,507,274,
NALGONDA,GUNDALA,SUDDALA,496,315,
NALGONDA,GUNDALA,TERYALA,412,273,
NALGONDA,GUNDALA,TURKALA SHAPUR,576,418,
NALGONDA,GUNDALA,VASTHA KONDUR,496,318,
NALGONDA,GUNDALA,VELMAJALA,655,460,1.0
NALGONDA,GUNDLA PALLE,BOGGULADONA,564,374,
NALGONDA,GUNDLA PALLE,BOLLANA PALLI,746,495,2.0
NALGONDA,GUNDLA PALLE,CHERKU PALLI,1245,812,3.0
NALGONDA,GUNDLA PALLE,DASARINEMLIPUR,300,188,
NALGONDA,GUNDLA PALLE,GONABOINA PALLI,1428,992,4.0
NALGONDA,GUNDLA PALLE,GUNDLA PALLI,1280,720,8.0
NALGONDA,GUNDLA PALLE,KAME PALLI,412,281,1.0
NALGONDA,GUNDLA PALLE,KANDUKUR,794,495,3.0
NALGONDA,GUNDLA PALLE,KHANAPUR,360,214,1.0
NALGONDA,GUNDLA PALLE,RAHMATPUR,409,265,2.0
NALGONDA,GUNDLA PALLE,SINGARAJ PALLI,343,240,2.0
NALGONDA,GUNDLA PALLE,TIPPALANENI GOWRARAM,458,297,1.0
NALGONDA,GUNDLA PALLE,TOWKLAPUR,1195,852,3.0
NALGONDA,GUNDLA PALLE,VAVILKOLE,1003,662,
NALGONDA,GUNDLA PALLE,VEERABOINA PALLI,721,543,3.0
NALGONDA,GUNDLA PALLE,YERRARAM,552,325,1.0
NALGONDA,GURRAMPODE,AMULUR,224,142,
NALGONDA,GURRAMPODE,BOLLARAM (P) KOPPOLE,217,126,
NALGONDA,GURRAMPODE,CHAMLED,473,295,1.0
NALGONDA,GURRAMPODE,CHEPUR,869,542,3.0
NALGONDA,GURRAMPODE,CHINTHAGUDAM,305,225,2.0
NALGONDA,GURRAMPODE,GURRAM PODE,612,366,2.0
NALGONDA,GURRAMPODE,JUNUTHLA,699,506,3.0
NALGONDA,GURRAMPODE,KALWAPALLI,252,171,1.0
NALGONDA,GURRAMPODE,KOPPOLE,1332,817,3.0
NALGONDA,GURRAMPODE,MAKKA PALLI,329,190,
NALGONDA,GURRAMPODE,MOSANGI,525,313,3.0
NALGONDA,GURRAMPODE,NADIKUDA,445,294,
NALGONDA,GURRAMPODE,OOTLAPALLI,223,142,
NALGONDA,GURRAMPODE,PALLE PAHAD,264,196,
NALGONDA,GURRAMPODE,PALWAI,850,550,4.0
NALGONDA,GURRAMPODE,PITTALAGUDEM,344,162,1.0
