District ,Mandal,GP,female,male,transgender
KHAMMAM,KUSUMANCHI,GURVAIGUDEM,178,135,1
KHAMMAM,KUSUMANCHI,JAKKEPALLI,356,203,2
KHAMMAM,KUSUMANCHI,JEELACHERUVU,784,483,3
KHAMMAM,KUSUMANCHI,JUJJULARAOPETA,465,310,1
KHAMMAM,KUSUMANCHI,KISTAPURAM,275,163,1
KHAMMAM,KUSUMANCHI,KOKYA THANDA,333,226,2
KHAMMAM,KUSUMANCHI,KOTHURU,340,223,2
KHAMMAM,KUSUMANCHI,KUSUMANCHI,991,563,5
KHAMMAM,KUSUMANCHI,LOKYA THANDA,493,326,2
KHAMMAM,KUSUMANCHI,MALLAIGUDEM,208,128,1
KHAMMAM,KUSUMANCHI,MALLEPALLI,269,168,
KHAMMAM,KUSUMANCHI,MUNIGEPALLI,188,139,2
KHAMMAM,KUSUMANCHI,MUTYALAGUDEM,319,191,4
KHAMMAM,KUSUMANCHI,NAIKANGUDEM,493,339,1
KHAMMAM,KUSUMANCHI,NARASIMHULAGUDEM,472,308,2
KHAMMAM,KUSUMANCHI,NELAPATLA,475,264,1
KHAMMAM,KUSUMANCHI,PALAIR,642,335,2
KHAMMAM,KUSUMANCHI,PERIKASINGARAM,348,196,4
KHAMMAM,KUSUMANCHI,POCHARAM,493,317,3
KHAMMAM,KUSUMANCHI,RAJUPETA,358,228,1
KHAMMAM,KUSUMANCHI,TURAKAGUDEM,195,127,
KHAMMAM,MADHIRA,ALLINAGARAM,197,107,1
KHAMMAM,MADHIRA,AMBARUPETA,25,18,
KHAMMAM,MADHIRA,ATUKURU,457,276,1
KHAMMAM,MADHIRA,CHILUKURU,322,189,
KHAMMAM,MADHIRA,DENDUKUR,962,663,2
KHAMMAM,MADHIRA,DESINENIPALEM,281,152,2
KHAMMAM,MADHIRA,DIDUGUPADU,310,175,3
KHAMMAM,MADHIRA,ILLENDULAPADU,7,5,
KHAMMAM,MADHIRA,ILLURU,309,194,3
