district_,mandal,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
KHAMMAM,DUMMUGUDEM,LAXMINAGARAM,258,167.0,2.0,425.0,425.0,39.294117647058826,60.705882352941174,469
KHAMMAM,DUMMUGUDEM,MAHADEVAPURAM,481,318.0,2.4959349593495936,799.0,799.0,39.799749687108886,60.200250312891114,321
KHAMMAM,DUMMUGUDEM,MARAIGUDEM,982,799.0,2.4959349593495936,1781.0,1781.0,44.862436833239755,55.13756316676025,73
KHAMMAM,DUMMUGUDEM,NADIKUDI,598,440.0,2.4959349593495936,1038.0,1038.0,42.38921001926782,57.61078998073218,230
KHAMMAM,DUMMUGUDEM,NARSAPURAM,566,412.0,3.0,978.0,1906.0,21.615949632738722,29.69569779643232,61
KHAMMAM,DUMMUGUDEM,PAIDIGUDEM,607,471.0,2.0,1078.0,1078.0,43.69202226345084,56.30797773654916,216
KHAMMAM,DUMMUGUDEM,PARNASALA,742,500.0,2.4959349593495936,1242.0,1242.0,40.25764895330113,59.74235104669887,170
KHAMMAM,DUMMUGUDEM,PEDAKAMALAPURAM,701,553.0,2.4959349593495936,1254.0,1254.0,44.09888357256778,55.90111642743222,166
KHAMMAM,DUMMUGUDEM,PEDANALLABALLI,791,539.0,1.0,1330.0,1330.0,40.526315789473685,59.473684210526315,147
KHAMMAM,DUMMUGUDEM,PRAGALLAPALLI,399,281.0,2.4959349593495936,680.0,680.0,41.3235294117647,58.6764705882353,364
KHAMMAM,DUMMUGUDEM,RAMARAOPETA,581,406.0,5.0,987.0,987.0,41.13475177304964,58.86524822695035,249
KHAMMAM,DUMMUGUDEM,SINGAVARAM,394,316.0,2.4959349593495936,710.0,710.0,44.50704225352113,55.49295774647888,350
KHAMMAM,DUMMUGUDEM,TURUBAKA,562,461.0,2.0,1023.0,1023.0,45.06353861192571,54.936461388074285,235
KHAMMAM,ENKURU,ARIKAYALAPADU,203,134.0,1.0,337.0,337.0,39.762611275964396,60.23738872403561,495
KHAMMAM,ENKURU,BHAGAVAN NAYAK THANDA,301,192.0,2.0,493.0,493.0,38.94523326572008,61.05476673427992,444
KHAMMAM,ENKURU,BURDA RAGHAVAPURAM,703,448.0,4.0,1151.0,1151.0,38.92267593397046,61.07732406602954,188
KHAMMAM,ENKURU,ENKURU,1049,635.0,5.0,1684.0,1684.0,37.70783847980997,62.29216152019003,87
KHAMMAM,ENKURU,JANNARAM,739,510.0,1.0,1249.0,1249.0,40.832666132906326,59.167333867093674,167
KHAMMAM,ENKURU,KESUPALLI,337,228.0,2.4959349593495936,565.0,565.0,40.35398230088496,59.64601769911504,409
KHAMMAM,ENKURU,NACHARAM,806,523.0,1.0,1329.0,2261.0,23.131357806280405,35.64794338788147,32
KHAMMAM,ENKURU,NUKULAMPADU,275,180.0,1.0,455.0,455.0,39.56043956043956,60.43956043956044,458
KHAMMAM,ENKURU,RAIMADARAM,479,290.0,1.0,769.0,769.0,37.711313394018205,62.288686605981795,331
KHAMMAM,ENKURU,RAJA LINGALA,579,412.0,1.0,991.0,991.0,41.57416750756811,58.42583249243189,247
KHAMMAM,ENKURU,REPALLEVADA,707,480.0,2.4959349593495936,1187.0,1187.0,40.438079191238415,59.561920808761585,178
KHAMMAM,ENKURU,SRIRAMGIRI,308,196.0,3.0,504.0,506.0,38.73517786561265,60.86956521739131,435
KHAMMAM,ENKURU,TIMMARAOPETA,632,418.0,3.0,1050.0,1050.0,39.80952380952381,60.1904761904762,224
KHAMMAM,ENKURU,TUTAKALINGANNA PETA,687,421.0,2.0,1108.0,1108.0,37.99638989169675,62.003610108303256,205
KHAMMAM,GARLA,BUDDHARAM,387,203.0,3.0,590.0,1154.0,17.590987868284227,33.53552859618718,187
KHAMMAM,GARLA,GARLA,1421,733.0,4.0,2154.0,2154.0,34.029712163416896,65.9702878365831,41
