district,mandal,gp,female,male,transgender
KHAMMAM,JULURPAD,KARIVARIGUDEM,312,202.0,2.0
KHAMMAM,JULURPAD,KOMMUGUDEM,365,216.0,1.0
KHAMMAM,JULURPAD,MACHINENIPETA,405,287.0,2.4959349593495936
KHAMMAM,JULURPAD,MACHINENIPETA  THANDA,417,276.0,1.0
KHAMMAM,JULURPAD,PADAMATA NARSAPURAM,561,359.0,2.0
KHAMMAM,JULURPAD,PAPAKOLLU,1463,1012.0,4.0
KHAMMAM,JULURPAD,VINOBHA NAGAR,207,132.0,2.4959349593495936
KHAMMAM,KALLUR,BATHULAPALLY,381,254.0,2.4959349593495936
KHAMMAM,KALLUR,CHANDRUPATLA,756,539.0,2.4959349593495936
KHAMMAM,KALLUR,CHENNURU,1222,906.0,1.0
KHAMMAM,KALLUR,CHINNA KORUKONDI,1078,723.0,5.0
KHAMMAM,KALLUR,GOKAVARAM,258,182.0,2.0
KHAMMAM,KALLUR,KALLURU,515,350.0,2.4959349593495936
KHAMMAM,KALLUR,KORLAGUDEM,215,178.0,2.4959349593495936
KHAMMAM,KALLUR,LAKSHMIPURAM,272,189.0,3.0
KHAMMAM,KALLUR,LINGALA,292,217.0,1.0
KHAMMAM,KALLUR,MUCHARAM,561,387.0,2.0
KHAMMAM,KALLUR,MUGGUVENKATAPURAM,291,187.0,1.0
KHAMMAM,KALLUR,NARAYANAPURAM,285,160.0,2.4959349593495936
KHAMMAM,KALLUR,PAYAPUR,143,103.0,1.0
KHAMMAM,KALLUR,PEDDAKORUKONDI,549,388.0,1.0
KHAMMAM,KALLUR,PERUVANCHA,568,382.0,4.0
KHAMMAM,KALLUR,POCHARAM,116,78.0,2.4959349593495936
KHAMMAM,KALLUR,RAGHUNADHAGUDEM,339,275.0,2.4959349593495936
KHAMMAM,KALLUR,TALLURU,474,309.0,2.0
KHAMMAM,KALLUR,TELAGARAM,444,303.0,2.4959349593495936
KHAMMAM,KALLUR,V.N.THANDA,199,149.0,2.4959349593495936
KHAMMAM,KALLUR,VENNAVALLI,333,258.0,1.0
KHAMMAM,KALLUR,YAGNA NARAYANAPURAM,218,179.0,2.4959349593495936
KHAMMAM,KALLUR,YERRABOINAPALLI,587,402.0,3.0
