district_,mandal,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
NALGONDA,CHANDUR,THUMMALAPALLE,399,239,1.0,638,638,37.460815047021946,62.539184952978054,536
NALGONDA,CHANDUR,UDUTHALA PALLE,573,394,3.0,967,967,40.74457083764219,59.25542916235781,336
NALGONDA,CHILKUR,ACHARLAGUDEM,234,127,2.0,361,361,35.18005540166205,64.81994459833795,716
NALGONDA,CHILKUR,ARLE GUDEM ,392,255,2.3849259757738897,647,647,39.41267387944359,60.58732612055642,529
NALGONDA,CHILKUR,BETHA VOLU,1626,931,4.0,2557,2557,36.40985529917872,63.59014470082127,10
NALGONDA,CHILKUR,CHENNARIGUDEM,277,173,2.3849259757738897,450,450,38.44444444444444,61.55555555555555,656
NALGONDA,CHILKUR,CHILKUR,1370,750,2.0,2120,2120,35.37735849056604,64.62264150943396,34
NALGONDA,CHILKUR,JANAKINAGAR,568,314,2.0,882,882,35.600907029478456,64.39909297052154,378
NALGONDA,CHILKUR,JERRIPOTHULAGUDEM,741,399,2.3849259757738897,1140,1140,35.0,65.0,248
NALGONDA,CHILKUR,KONDAPURAM,599,354,2.3849259757738897,953,1754,20.182440136830103,34.15051311288483,89
NALGONDA,CHILKUR,NARAYANAPURAM,796,502,2.3849259757738897,1298,1298,38.674884437596305,61.325115562403695,198
NALGONDA,CHILKUR,POLENIGUDEM,317,189,3.0,506,506,37.351778656126484,62.64822134387352,620
NALGONDA,CHILKUR,RAMAPURAM,538,347,1.0,885,3014,11.512939615129396,17.850033178500333,6
NALGONDA,CHILKUR,SEETHARAMPURAM,192,125,1.0,317,317,39.43217665615142,60.56782334384858,744
NALGONDA,CHILKUR,SEETHLATHANDA,319,194,2.0,513,513,37.8167641325536,62.1832358674464,616
NALGONDA,CHINTHA PALLE,CHINTHAPALLY,881,468,1.0,1349,1349,34.69236471460341,65.30763528539659,181
NALGONDA,CHINTHA PALLE,GADYA GOWRARAM,757,491,2.0,1248,1248,39.342948717948715,60.65705128205128,213
NALGONDA,CHINTHA PALLE,GODKONDLA,985,558,2.3849259757738897,1543,1543,36.16331821127673,63.83668178872327,134
NALGONDA,CHINTHA PALLE,GOLLAPALLY,372,223,3.0,595,595,37.47899159663866,62.52100840336134,561
NALGONDA,CHINTHA PALLE,HUMANTHULA PALLI,609,388,2.3849259757738897,997,997,38.91675025075226,61.08324974924775,314
NALGONDA,CHINTHA PALLE,KISTRAM PALLY,487,339,1.0,826,826,41.041162227602904,58.958837772397096,407
NALGONDA,CHINTHA PALLE,KURMA PALLI,558,305,2.3849259757738897,863,863,35.34183082271147,64.65816917728853,388
NALGONDA,CHINTHA PALLE,KURMAIDU,663,382,3.0,1045,1045,36.55502392344497,63.44497607655503,293
NALGONDA,CHINTHA PALLE,M.MALLEPALLY,455,316,1.0,771,771,40.985732814526585,59.014267185473415,442
NALGONDA,CHINTHA PALLE,MADNAPUR,229,120,2.3849259757738897,349,349,34.38395415472779,65.61604584527221,723
NALGONDA,CHINTHA PALLE,MALLAREDDI PALLI,654,404,2.0,1058,1058,38.18525519848771,61.81474480151229,287
